date,symbol,year,quarter,net_income,total_assets,source,book_value
31-03-2018,360ONE,2018,FY,380,9567,screener_html,1863
31-03-2019,360ONE,2019,FY,375,9763,screener_html,2911
31-03-2020,360ONE,2020,FY,201,13021,screener_html,2991
31-03-2021,360ONE,2021,FY,369,8739,screener_html,2828
31-03-2022,360ONE,2022,FY,578,10734,screener_html,3024
31-03-2023,360ONE,2023,FY,658,11191,screener_html,3122
31-03-2024,360ONE,2024,FY,804,15114,screener_html,3450
31-03-2025,360ONE,2025,FY,1015,19768,screener_html,7065
31-03-2026,360ONE,2026,FY,1216,27201,screener_html,9836
31-03-2018,3MINDIA,2018,FY,333,2311,screener_html,1066
31-03-2019,3MINDIA,2019,FY,366,2118,screener_html,1433
31-03-2020,3MINDIA,2020,FY,322,2371,screener_html,1751
31-03-2021,3MINDIA,2021,FY,162,2652,screener_html,1910
31-03-2022,3MINDIA,2022,FY,272,3006,screener_html,2183
31-03-2023,3MINDIA,2023,FY,451,2714,screener_html,1677
31-03-2024,3MINDIA,2024,FY,583,3248,screener_html,2147
31-03-2019,AADHARHFC,2019,FY,162,9480,screener_html,859
31-03-2020,AADHARHFC,2020,FY,189,12366,screener_html,2347
31-03-2021,AADHARHFC,2021,FY,340,13630,screener_html,2693
31-03-2022,AADHARHFC,2022,FY,445,14376,screener_html,3147
31-03-2023,AADHARHFC,2023,FY,545,16618,screener_html,3698
31-03-2024,AADHARHFC,2024,FY,750,19093,screener_html,4450
31-03-2025,AADHARHFC,2025,FY,912,23224,screener_html,6372
31-03-2026,AADHARHFC,2026,FY,1096,27399,screener_html,7541
31-03-2015,AARTIIND,2015,FY,208,2938,screener_html,1016
31-03-2016,AARTIIND,2016,FY,268,2966,screener_html,1138
31-03-2017,AARTIIND,2017,FY,328,3499,screener_html,1362
31-03-2018,AARTIIND,2018,FY,346,4391,screener_html,1579
31-03-2019,AARTIIND,2019,FY,504,5858,screener_html,2630
31-03-2020,AARTIIND,2020,FY,547,6332,screener_html,2979
31-03-2021,AARTIIND,2021,FY,535,7642,screener_html,3503
31-03-2022,AARTIIND,2022,FY,1186,7851,screener_html,4516
31-03-2023,AARTIIND,2023,FY,545,8581,screener_html,4920
31-03-2024,AARTIIND,2024,FY,416,10115,screener_html,5290
31-03-2025,AARTIIND,2025,FY,331,11114,screener_html,5605
31-03-2026,AARTIIND,2026,FY,419,13299,screener_html,5955
31-03-2018,AAVAS,2018,FY,93,4040,screener_html,1190
31-03-2019,AAVAS,2019,FY,176,5627,screener_html,1837
31-03-2020,AAVAS,2020,FY,249,7657,screener_html,2098
31-03-2021,AAVAS,2021,FY,289,8959,screener_html,2400
31-03-2022,AAVAS,2022,FY,355,11017,screener_html,2807
31-03-2023,AAVAS,2023,FY,430,13410,screener_html,3270
31-03-2024,AAVAS,2024,FY,491,16519,screener_html,3773
31-03-2011,ABB,2011,FY,185,6319,screener_html,2534
31-03-2012,ABB,2012,FY,141,6504,screener_html,2601
31-03-2024,ABB,2024,FY,1872,12391,screener_html,7075
31-03-2025,ABB,2025,FY,1668,13638,screener_html,7836
31-03-2014,ABBOTINDIA,2014,FY,198,1139,screener_html,788
31-03-2015,ABBOTINDIA,2015,FY,229,1374,screener_html,937
31-03-2016,ABBOTINDIA,2016,FY,255,1616,screener_html,1195
31-03-2017,ABBOTINDIA,2017,FY,277,2066,screener_html,1387
31-03-2018,ABBOTINDIA,2018,FY,401,2416,screener_html,1693
31-03-2019,ABBOTINDIA,2019,FY,450,2941,screener_html,2008
31-03-2020,ABBOTINDIA,2020,FY,593,3547,screener_html,2431
31-03-2021,ABBOTINDIA,2021,FY,691,3840,screener_html,2602
31-03-2022,ABBOTINDIA,2022,FY,799,4224,screener_html,2820
31-03-2023,ABBOTINDIA,2023,FY,949,4556,screener_html,3188
31-03-2024,ABBOTINDIA,2024,FY,1201,5193,screener_html,3699
31-03-2025,ABBOTINDIA,2025,FY,1414,5694,screener_html,4011
31-03-2015,ABCAPITAL,2015,FY,309,19642,screener_html,1813
31-03-2016,ABCAPITAL,2016,FY,524,30042,screener_html,2717
31-03-2017,ABCAPITAL,2017,FY,691,78141,screener_html,6610
31-03-2018,ABCAPITAL,2018,FY,693,93556,screener_html,8538
31-03-2019,ABCAPITAL,2019,FY,811,109470,screener_html,9512
31-03-2020,ABCAPITAL,2020,FY,866,113520,screener_html,12576
31-03-2021,ABCAPITAL,2021,FY,1106,124485,screener_html,13742
31-03-2022,ABCAPITAL,2022,FY,1660,140815,screener_html,15492
31-03-2023,ABCAPITAL,2023,FY,4824,180353,screener_html,20311
31-03-2024,ABCAPITAL,2024,FY,3439,231623,screener_html,26817
31-03-2025,ABCAPITAL,2025,FY,3410,278643,screener_html,30389
31-03-2026,ABCAPITAL,2026,FY,3864,335393,screener_html,34424
31-03-2020,ABDL,2020,FY,13,2414,screener_html,373
31-03-2021,ABDL,2021,FY,3,2308,screener_html,375
31-03-2022,ABDL,2022,FY,1,2255,screener_html,404
31-03-2023,ABDL,2023,FY,2,2500,screener_html,406
31-03-2024,ABDL,2024,FY,2,2645,screener_html,407
31-03-2025,ABDL,2025,FY,195,3843,screener_html,1558
31-03-2019,ABFRL,2019,FY,321,6621,screener_html,1428
31-03-2020,ABFRL,2020,FY,-165,9758,screener_html,1068
31-03-2021,ABFRL,2021,FY,-736,10049,screener_html,2644
31-03-2022,ABFRL,2022,FY,-118,12195,screener_html,2773
31-03-2023,ABFRL,2023,FY,-59,16790,screener_html,3343
31-03-2024,ABFRL,2024,FY,-736,21790,screener_html,4022
31-03-2025,ABFRL,2025,FY,-456,17641,screener_html,6252
31-03-2025,ABLBL,2025,FY,60,8279,screener_html,1276.05
31-03-2026,ABLBL,2026,FY,171,8720,screener_html,1413
31-03-2017,ABREL,2017,FY,105,10336,screener_html,2482
31-03-2018,ABREL,2018,FY,372,10331,screener_html,2748
31-03-2019,ABREL,2019,FY,6063,6175,screener_html,3294
31-03-2020,ABREL,2020,FY,360,6747,screener_html,3480
31-03-2021,ABREL,2021,FY,-34,6693,screener_html,3505
31-03-2022,ABREL,2022,FY,162,7739,screener_html,3719
31-03-2023,ABREL,2023,FY,265,8411,screener_html,3887
31-03-2024,ABREL,2024,FY,60,10499,screener_html,3979
31-03-2025,ABREL,2025,FY,-157,16483,screener_html,3841
31-03-2026,ABREL,2026,FY,-115,20233,screener_html,3701
31-03-2017,ABSLAMC,2017,FY,223,1200,screener_html,942
31-03-2018,ABSLAMC,2018,FY,349,1549,screener_html,1138
31-03-2019,ABSLAMC,2019,FY,447,1498,screener_html,1221
31-03-2020,ABSLAMC,2020,FY,494,1572,screener_html,1317
31-03-2021,ABSLAMC,2021,FY,526,1985,screener_html,1705
31-03-2022,ABSLAMC,2022,FY,673,2435,screener_html,2196
31-03-2023,ABSLAMC,2023,FY,596,2788,screener_html,2517
31-03-2024,ABSLAMC,2024,FY,780,3502,screener_html,3169
31-03-2025,ABSLAMC,2025,FY,931,4114,screener_html,3727
31-03-2026,ABSLAMC,2026,FY,975,4415,screener_html,4041
31-03-2014,ACC,2014,FY,1162,12682,screener_html,8218
31-03-2015,ACC,2015,FY,587,12800,screener_html,8421
31-03-2016,ACC,2016,FY,658,13394,screener_html,8813
31-03-2017,ACC,2017,FY,925,14846,screener_html,9356
31-03-2018,ACC,2018,FY,1521,16056,screener_html,10532
31-03-2019,ACC,2019,FY,1378,17136,screener_html,11544
31-03-2020,ACC,2020,FY,1430,18200,screener_html,12699
31-03-2021,ACC,2021,FY,1863,21039,screener_html,14309
31-03-2023,ACC,2023,FY,885,20544,screener_html,14138
31-03-2024,ACC,2024,FY,2337,23386,screener_html,16330
31-03-2025,ACC,2025,FY,2402,25413,screener_html,18555
31-03-2026,ACC,2026,FY,2137,27525,screener_html,20551
31-03-2014,ACE,2014,FY,3,605,screener_html,287
31-03-2015,ACE,2015,FY,5,609,screener_html,292
31-03-2016,ACE,2016,FY,9,620,screener_html,282
31-03-2017,ACE,2017,FY,14,677,screener_html,334
31-03-2018,ACE,2018,FY,52,817,screener_html,382
31-03-2019,ACE,2019,FY,56,887,screener_html,437
31-03-2020,ACE,2020,FY,52,954,screener_html,443
31-03-2021,ACE,2021,FY,80,1055,screener_html,524
31-03-2022,ACE,2022,FY,105,1282,screener_html,754
31-03-2023,ACE,2023,FY,173,1600,screener_html,919
31-03-2024,ACE,2024,FY,328,2169,screener_html,1230
31-03-2025,ACE,2025,FY,409,2990,screener_html,1783
31-03-2020,ACMESOLAR,2020,FY,86,15460,screener_html,1192
31-03-2021,ACMESOLAR,2021,FY,15,12489,screener_html,1857
31-03-2022,ACMESOLAR,2022,FY,62,10797,screener_html,1908
31-03-2023,ACMESOLAR,2023,FY,-3,12027,screener_html,1900
31-03-2024,ACMESOLAR,2024,FY,698,13207,screener_html,2590
31-03-2025,ACMESOLAR,2025,FY,251,18140,screener_html,4511
31-03-2026,ACMESOLAR,2026,FY,498,28540,screener_html,5061
31-03-2017,ACUTAAS,2017,FY,12,109,screener_html,39
31-03-2018,ACUTAAS,2018,FY,18,155,screener_html,58
31-03-2019,ACUTAAS,2019,FY,23,213,screener_html,82
31-03-2020,ACUTAAS,2020,FY,27,232,screener_html,111
31-03-2021,ACUTAAS,2021,FY,54,413,screener_html,167
31-03-2022,ACUTAAS,2022,FY,72,659,screener_html,522
31-03-2023,ACUTAAS,2023,FY,83,767,screener_html,594
31-03-2024,ACUTAAS,2024,FY,49,1096,screener_html,674
31-03-2025,ACUTAAS,2025,FY,160,1549,screener_html,1310
31-03-2026,ACUTAAS,2026,FY,356,1984,screener_html,1654
31-03-2015,ADANIENSOL,2015,FY,-7,11492,screener_html,1083
31-03-2016,ADANIENSOL,2016,FY,368,11746,screener_html,2672
31-03-2017,ADANIENSOL,2017,FY,416,12811,screener_html,2947
31-03-2018,ADANIENSOL,2018,FY,1143,17265,screener_html,6057
31-03-2019,ADANIENSOL,2019,FY,559,32558,screener_html,8043
31-03-2020,ADANIENSOL,2020,FY,706,39711,screener_html,8499
31-03-2021,ADANIENSOL,2021,FY,1290,43234,screener_html,8919
31-03-2022,ADANIENSOL,2022,FY,1236,47464,screener_html,9913
31-03-2023,ADANIENSOL,2023,FY,1281,53932,screener_html,11749
31-03-2024,ADANIENSOL,2024,FY,1196,58538,screener_html,12641
31-03-2025,ADANIENSOL,2025,FY,922,73902,screener_html,22068
31-03-2026,ADANIENSOL,2026,FY,2393,92835,screener_html,25427
31-03-2015,ADANIENT,2015,FY,2298,130718,screener_html,25728
31-03-2016,ADANIENT,2016,FY,1000,41679,screener_html,13378
31-03-2017,ADANIENT,2017,FY,925,47611,screener_html,14136
31-03-2018,ADANIENT,2018,FY,594,56405,screener_html,15089
31-03-2019,ADANIENT,2019,FY,506,42536,screener_html,14756
31-03-2020,ADANIENT,2020,FY,1040,46875,screener_html,16947
31-03-2021,ADANIENT,2021,FY,1046,51617,screener_html,17159
31-03-2022,ADANIENT,2022,FY,788,101586,screener_html,22257
31-03-2023,ADANIENT,2023,FY,2422,141278,screener_html,33051
31-03-2024,ADANIENT,2024,FY,3335,160586,screener_html,39076
31-03-2025,ADANIENT,2025,FY,8005,197843,screener_html,50314
31-03-2026,ADANIENT,2026,FY,9951,261600,screener_html,80926
31-03-2016,ADANIGREEN,2016,FY,-9,5569,screener_html,151
31-03-2017,ADANIGREEN,2017,FY,-47,6160,screener_html,1203
31-03-2018,ADANIGREEN,2018,FY,-138,15709,screener_html,1341
31-03-2019,ADANIGREEN,2019,FY,-475,14658,screener_html,1933
31-03-2020,ADANIGREEN,2020,FY,-68,18424,screener_html,2356
31-03-2021,ADANIGREEN,2021,FY,182,28692,screener_html,2200
31-03-2022,ADANIGREEN,2022,FY,489,58954,screener_html,2614
31-03-2023,ADANIGREEN,2023,FY,973,66909,screener_html,7304
31-03-2024,ADANIGREEN,2024,FY,1260,88086,screener_html,10642
31-03-2025,ADANIGREEN,2025,FY,2001,110764,screener_html,12137
31-03-2026,ADANIGREEN,2026,FY,1987,144097,screener_html,19965
31-03-2015,ADANIPORTS,2015,FY,2324,32082,screener_html,10765
31-03-2016,ADANIPORTS,2016,FY,2856,38385,screener_html,13505
31-03-2017,ADANIPORTS,2017,FY,3902,43369,screener_html,17526
31-03-2018,ADANIPORTS,2018,FY,3690,47233,screener_html,20903
31-03-2019,ADANIPORTS,2019,FY,4045,56311,screener_html,24372
31-03-2020,ADANIPORTS,2020,FY,3785,61917,screener_html,25457
31-03-2021,ADANIPORTS,2021,FY,5049,74582,screener_html,30441
31-03-2022,ADANIPORTS,2022,FY,4953,98328,screener_html,41821
31-03-2023,ADANIPORTS,2023,FY,5391,112563,screener_html,45389
31-03-2024,ADANIPORTS,2024,FY,8104,116999,screener_html,52778
31-03-2025,ADANIPORTS,2025,FY,11061,133443,screener_html,62269
31-03-2026,ADANIPORTS,2026,FY,12782,185315,screener_html,96126
31-03-2015,ADANIPOWER,2015,FY,-816,58474,screener_html,5725
31-03-2016,ADANIPOWER,2016,FY,551,75794,screener_html,7468
31-03-2017,ADANIPOWER,2017,FY,-6174,71511,screener_html,3000
31-03-2018,ADANIPOWER,2018,FY,-2103,69528,screener_html,889
31-03-2019,ADANIPOWER,2019,FY,-984,67985,screener_html,7712
31-03-2020,ADANIPOWER,2020,FY,-2275,75025,screener_html,6481
31-03-2021,ADANIPOWER,2021,FY,1270,78535,screener_html,13113
31-03-2022,ADANIPOWER,2022,FY,4912,81981,screener_html,18457
31-03-2023,ADANIPOWER,2023,FY,10727,85821,screener_html,29876
31-03-2024,ADANIPOWER,2024,FY,20829,92009,screener_html,42899
31-03-2025,ADANIPOWER,2025,FY,12750,112918,screener_html,56347
31-03-2026,ADANIPOWER,2026,FY,12971,142280,screener_html,64937
31-03-2014,AEGISLOG,2014,FY,69,886,screener_html,350
31-03-2015,AEGISLOG,2015,FY,112,937,screener_html,427
31-03-2016,AEGISLOG,2016,FY,126,899,screener_html,504
31-03-2017,AEGISLOG,2017,FY,133,1994,screener_html,837
31-03-2018,AEGISLOG,2018,FY,214,2214,screener_html,1207
31-03-2019,AEGISLOG,2019,FY,252,2345,screener_html,1391
31-03-2020,AEGISLOG,2020,FY,134,2890,screener_html,1655
31-03-2021,AEGISLOG,2021,FY,249,3042,screener_html,1936
31-03-2022,AEGISLOG,2022,FY,385,3961,screener_html,2180
31-03-2023,AEGISLOG,2023,FY,511,7069,screener_html,3532
31-03-2024,AEGISLOG,2024,FY,672,7929,screener_html,3894
31-03-2025,AEGISLOG,2025,FY,787,12050,screener_html,5941
31-03-2022,AEGISVOPAK,2022,FY,-1,103,screener_html,1.51
31-03-2023,AEGISVOPAK,2023,FY,0,3479,screener_html,953
31-03-2024,AEGISVOPAK,2024,FY,87,4523,screener_html,997
31-03-2025,AEGISVOPAK,2025,FY,127,7072,screener_html,4742
31-03-2020,AFCONS,2020,FY,248,13097,screener_html,1793
31-03-2021,AFCONS,2021,FY,170,12490,screener_html,1940
31-03-2022,AFCONS,2022,FY,358,12974,screener_html,2262
31-03-2023,AFCONS,2023,FY,411,14301,screener_html,2726
31-03-2024,AFCONS,2024,FY,450,16234,screener_html,3596
31-03-2025,AFCONS,2025,FY,487,17934,screener_html,5389
31-03-2018,AFFLE,2018,FY,28,76,screener_html,30
31-03-2019,AFFLE,2019,FY,49,158,screener_html,72
31-03-2020,AFFLE,2020,FY,66,402,screener_html,230
31-03-2021,AFFLE,2021,FY,135,753,screener_html,359
31-03-2022,AFFLE,2022,FY,215,1824,screener_html,1178
31-03-2023,AFFLE,2023,FY,245,2008,screener_html,1465
31-03-2024,AFFLE,2024,FY,297,3273,screener_html,2498
31-03-2025,AFFLE,2025,FY,382,3612,screener_html,2946
31-03-2026,AFFLE,2026,FY,455,4421,screener_html,3652
31-03-2014,AIAENG,2014,FY,326,2233,screener_html,1739
31-03-2015,AIAENG,2015,FY,431,2549,screener_html,2084
31-03-2016,AIAENG,2016,FY,457,2785,screener_html,2323
31-03-2017,AIAENG,2017,FY,457,3190,screener_html,2717
31-03-2018,AIAENG,2018,FY,444,3559,screener_html,3009
31-03-2019,AIAENG,2019,FY,511,4033,screener_html,3514
31-03-2020,AIAENG,2020,FY,590,4162,screener_html,3701
31-03-2021,AIAENG,2021,FY,566,4758,screener_html,4244
31-03-2022,AIAENG,2022,FY,620,5125,screener_html,4755
31-03-2023,AIAENG,2023,FY,1056,6630,screener_html,5691
31-03-2024,AIAENG,2024,FY,1137,7494,screener_html,6658
31-03-2025,AIAENG,2025,FY,1060,8889,screener_html,7367
31-03-2023,AIIL,2023,FY,4304,6900,screener_html,3416
31-03-2024,AIIL,2024,FY,4285,11621,screener_html,10345
31-03-2025,AIIL,2025,FY,4241,20076,screener_html,16272
31-03-2015,AJANTPHARM,2015,FY,310,1146,screener_html,841
31-03-2016,AJANTPHARM,2016,FY,416,1479,screener_html,1191
31-03-2017,AJANTPHARM,2017,FY,507,1823,screener_html,1568
31-03-2018,AJANTPHARM,2018,FY,469,2426,screener_html,2042
31-03-2019,AJANTPHARM,2019,FY,387,2664,screener_html,2246
31-03-2020,AJANTPHARM,2020,FY,468,3293,screener_html,2599
31-03-2021,AJANTPHARM,2021,FY,654,3729,screener_html,2995
31-03-2022,AJANTPHARM,2022,FY,713,4000,screener_html,3264
31-03-2023,AJANTPHARM,2023,FY,588,4582,screener_html,3388
31-03-2024,AJANTPHARM,2024,FY,816,4530,screener_html,3567
31-03-2025,AJANTPHARM,2025,FY,920,4904,screener_html,3790
31-03-2026,AJANTPHARM,2026,FY,1056,6155,screener_html,4527
31-03-2014,ALKEM,2014,FY,435,4311,screener_html,2579
31-03-2015,ALKEM,2015,FY,392,5291,screener_html,2999
31-03-2016,ALKEM,2016,FY,752,5534,screener_html,3692
31-03-2017,ALKEM,2017,FY,905,6568,screener_html,4468
31-03-2018,ALKEM,2018,FY,638,7664,screener_html,4864
31-03-2019,ALKEM,2019,FY,774,8208,screener_html,5439
31-03-2020,ALKEM,2020,FY,1149,9946,screener_html,6161
31-03-2021,ALKEM,2021,FY,1618,11519,screener_html,7377
31-03-2022,ALKEM,2022,FY,1680,14069,screener_html,8638
31-03-2023,ALKEM,2023,FY,1007,13757,screener_html,9045
31-03-2024,ALKEM,2024,FY,1811,15575,screener_html,10312
31-03-2025,ALKEM,2025,FY,2215,20287,screener_html,13346
31-03-2014,AMBER,2014,FY,22,861,screener_html,210
31-03-2015,AMBER,2015,FY,29,1006,screener_html,239
31-03-2016,AMBER,2016,FY,24,1115,screener_html,263
31-03-2017,AMBER,2017,FY,22,1251,screener_html,363
31-03-2018,AMBER,2018,FY,62,1728,screener_html,892
31-03-2019,AMBER,2019,FY,95,2371,screener_html,986
31-03-2020,AMBER,2020,FY,164,2899,screener_html,1128
31-03-2021,AMBER,2021,FY,83,3585,screener_html,1604
31-03-2022,AMBER,2022,FY,111,4910,screener_html,1735
31-03-2023,AMBER,2023,FY,164,6240,screener_html,1909
31-03-2024,AMBER,2024,FY,139,6590,screener_html,2065
31-03-2025,AMBER,2025,FY,251,9144,screener_html,3647
31-03-2014,AMBUJACEM,2014,FY,1487,13878,screener_html,10070
31-03-2015,AMBUJACEM,2015,FY,808,14133,screener_html,10271
31-03-2016,AMBUJACEM,2016,FY,1434,32824,screener_html,19821
31-03-2017,AMBUJACEM,2017,FY,1945,35509,screener_html,20672
31-03-2018,AMBUJACEM,2018,FY,2973,37391,screener_html,22370
31-03-2019,AMBUJACEM,2019,FY,2783,40178,screener_html,24078
31-03-2020,AMBUJACEM,2020,FY,3107,39718,screener_html,22757
31-03-2021,AMBUJACEM,2021,FY,3711,45205,screener_html,25354
31-03-2023,AMBUJACEM,2023,FY,3024,51721,screener_html,31698
31-03-2024,AMBUJACEM,2024,FY,4735,65067,screener_html,41452
31-03-2025,AMBUJACEM,2025,FY,5158,80941,screener_html,53444
31-03-2026,AMBUJACEM,2026,FY,5637,89607,screener_html,59347
31-03-2019,ANANDRATHI,2019,FY,58,231,screener_html,123
31-03-2020,ANANDRATHI,2020,FY,62,409,screener_html,186
31-03-2021,ANANDRATHI,2021,FY,45,340,screener_html,242
31-03-2022,ANANDRATHI,2022,FY,127,480,screener_html,344
31-03-2023,ANANDRATHI,2023,FY,169,624,screener_html,468
31-03-2024,ANANDRATHI,2024,FY,226,880,screener_html,649
31-03-2025,ANANDRATHI,2025,FY,301,961,screener_html,674
31-03-2026,ANANDRATHI,2026,FY,397,1329,screener_html,999
31-03-2014,ANANTRAJ,2014,FY,100,6147,screener_html,4003
31-03-2015,ANANTRAJ,2015,FY,142,6091,screener_html,4134
31-03-2016,ANANTRAJ,2016,FY,70,6249,screener_html,4117
31-03-2017,ANANTRAJ,2017,FY,76,6692,screener_html,4246
31-03-2018,ANANTRAJ,2018,FY,66,7473,screener_html,4187
31-03-2019,ANANTRAJ,2019,FY,40,4602,screener_html,2501
31-03-2020,ANANTRAJ,2020,FY,24,4588,screener_html,2485
31-03-2021,ANANTRAJ,2021,FY,9,4611,screener_html,2499
31-03-2022,ANANTRAJ,2022,FY,53,4385,screener_html,2639
31-03-2023,ANANTRAJ,2023,FY,149,4357,screener_html,2825
31-03-2024,ANANTRAJ,2024,FY,271,4868,screener_html,3656
31-03-2025,ANANTRAJ,2025,FY,426,5446,screener_html,4400
31-03-2015,ANGELONE,2015,FY,47,974,screener_html,346
31-03-2016,ANGELONE,2016,FY,32,1139,screener_html,369
31-03-2017,ANGELONE,2017,FY,31,1803,screener_html,389
31-03-2018,ANGELONE,2018,FY,108,2367,screener_html,475
31-03-2019,ANGELONE,2019,FY,80,2209,screener_html,531
31-03-2020,ANGELONE,2020,FY,82,2190,screener_html,591
31-03-2021,ANGELONE,2021,FY,297,4814,screener_html,1131
31-03-2022,ANGELONE,2022,FY,625,7220,screener_html,1585
31-03-2023,ANGELONE,2023,FY,890,7478,screener_html,2161
31-03-2024,ANGELONE,2024,FY,1126,13254,screener_html,3039
31-03-2025,ANGELONE,2025,FY,1172,16889,screener_html,5621
31-03-2026,ANGELONE,2026,FY,915,23904,screener_html,6118
31-03-2019,ANURAS,2019,FY,49,1323,screener_html,482
31-03-2020,ANURAS,2020,FY,53,1664,screener_html,565
31-03-2021,ANURAS,2021,FY,70,2298,screener_html,1573
31-03-2022,ANURAS,2022,FY,152,2891,screener_html,1727
31-03-2023,ANURAS,2023,FY,217,3778,screener_html,2372
31-03-2024,ANURAS,2024,FY,167,4602,screener_html,2761
31-03-2025,ANURAS,2025,FY,160,5650,screener_html,3197
31-03-2014,APARINDS,2014,FY,90,2998,screener_html,696
31-03-2015,APARINDS,2015,FY,49,2956,screener_html,729
31-03-2016,APARINDS,2016,FY,122,2919,screener_html,853
31-03-2017,APARINDS,2017,FY,177,3448,screener_html,1036
31-03-2018,APARINDS,2018,FY,145,4276,screener_html,1108
31-03-2019,APARINDS,2019,FY,136,4957,screener_html,1202
31-03-2020,APARINDS,2020,FY,135,4654,screener_html,1166
31-03-2021,APARINDS,2021,FY,160,4999,screener_html,1399
31-03-2022,APARINDS,2022,FY,257,6608,screener_html,1715
31-03-2023,APARINDS,2023,FY,638,8218,screener_html,2236
31-03-2024,APARINDS,2024,FY,825,9616,screener_html,3876
31-03-2025,APARINDS,2025,FY,821,11313,screener_html,4852
31-03-2015,APLAPOLLO,2015,FY,64,1323,screener_html,495
31-03-2016,APLAPOLLO,2016,FY,101,1660,screener_html,567
31-03-2017,APLAPOLLO,2017,FY,152,1845,screener_html,704
31-03-2018,APLAPOLLO,2018,FY,158,2181,screener_html,838
31-03-2019,APLAPOLLO,2019,FY,148,2774,screener_html,964
31-03-2020,APLAPOLLO,2020,FY,256,3266,screener_html,1356
31-03-2021,APLAPOLLO,2021,FY,408,3399,screener_html,1695
31-03-2022,APLAPOLLO,2022,FY,619,4452,screener_html,2464
31-03-2023,APLAPOLLO,2023,FY,642,5852,screener_html,3005
31-03-2024,APLAPOLLO,2024,FY,732,7187,screener_html,3605
31-03-2025,APLAPOLLO,2025,FY,757,7596,screener_html,4209
31-03-2026,APLAPOLLO,2026,FY,1203,8833,screener_html,5297
31-03-2014,APOLLOHOSP,2014,FY,315,5350,screener_html,2977
31-03-2015,APOLLOHOSP,2015,FY,335,6459,screener_html,3172
31-03-2016,APOLLOHOSP,2016,FY,235,7360,screener_html,3332
31-03-2017,APOLLOHOSP,2017,FY,131,8103,screener_html,3314
31-03-2018,APOLLOHOSP,2018,FY,60,8596,screener_html,3252
31-03-2019,APOLLOHOSP,2019,FY,200,9166,screener_html,3334
31-03-2020,APOLLOHOSP,2020,FY,432,11289,screener_html,3340
31-03-2021,APOLLOHOSP,2021,FY,137,11392,screener_html,4603
31-03-2022,APOLLOHOSP,2022,FY,1108,13261,screener_html,5623
31-03-2023,APOLLOHOSP,2023,FY,844,14416,screener_html,6198
31-03-2024,APOLLOHOSP,2024,FY,935,16742,screener_html,6936
31-03-2025,APOLLOHOSP,2025,FY,1505,21950,screener_html,9093
31-03-2014,APOLLOTYRE,2014,FY,1005,9034,screener_html,4574
31-03-2015,APOLLOTYRE,2015,FY,978,8600,screener_html,5042
31-03-2016,APOLLOTYRE,2016,FY,1123,11594,screener_html,6605
31-03-2017,APOLLOTYRE,2017,FY,1099,15233,screener_html,7290
31-03-2018,APOLLOTYRE,2018,FY,724,20058,screener_html,9776
31-03-2019,APOLLOTYRE,2019,FY,680,20151,screener_html,10040
31-03-2020,APOLLOTYRE,2020,FY,476,23205,screener_html,9930
31-03-2021,APOLLOTYRE,2021,FY,350,25816,screener_html,11444
31-03-2022,APOLLOTYRE,2022,FY,639,27041,screener_html,11753
31-03-2023,APOLLOTYRE,2023,FY,1046,27281,screener_html,12579
31-03-2024,APOLLOTYRE,2024,FY,1722,26875,screener_html,13903
31-03-2025,APOLLOTYRE,2025,FY,1121,29009,screener_html,15533
31-03-2017,APTUS,2017,FY,37,845,screener_html,521
31-03-2018,APTUS,2018,FY,67,1465,screener_html,585
31-03-2019,APTUS,2019,FY,112,2362,screener_html,699
31-03-2020,APTUS,2020,FY,211,3747,screener_html,1709
31-03-2021,APTUS,2021,FY,267,4520,screener_html,1980
31-03-2022,APTUS,2022,FY,370,5684,screener_html,2916
31-03-2023,APTUS,2023,FY,503,7176,screener_html,3340
31-03-2024,APTUS,2024,FY,612,9005,screener_html,3768
31-03-2025,APTUS,2025,FY,751,11243,screener_html,4317
31-03-2026,APTUS,2026,FY,943,13048,screener_html,5060
31-03-2019,ARE&M,2019,FY,483,4496,screener_html,3335
31-03-2020,ARE&M,2020,FY,661,5000,screener_html,3655
31-03-2021,ARE&M,2021,FY,647,5797,screener_html,4210
31-03-2022,ARE&M,2022,FY,513,6376,screener_html,4552
31-03-2023,ARE&M,2023,FY,731,7961,screener_html,6007
31-03-2024,ARE&M,2024,FY,934,8976,screener_html,6798
31-03-2025,ARE&M,2025,FY,945,10847,screener_html,7737
31-03-2014,ASAHIINDIA,2014,FY,-48,2313,screener_html,241
31-03-2015,ASAHIINDIA,2015,FY,40,2260,screener_html,281
31-03-2016,ASAHIINDIA,2016,FY,85,2272,screener_html,354
31-03-2017,ASAHIINDIA,2017,FY,150,2830,screener_html,926
31-03-2018,ASAHIINDIA,2018,FY,176,3281,screener_html,1075
31-03-2019,ASAHIINDIA,2019,FY,188,3689,screener_html,1215
31-03-2020,ASAHIINDIA,2020,FY,151,3863,screener_html,1302
31-03-2021,ASAHIINDIA,2021,FY,131,3773,screener_html,1439
31-03-2022,ASAHIINDIA,2022,FY,343,3777,screener_html,1762
31-03-2023,ASAHIINDIA,2023,FY,362,4580,screener_html,2074
31-03-2024,ASAHIINDIA,2024,FY,325,5500,screener_html,2353
31-03-2025,ASAHIINDIA,2025,FY,367,7902,screener_html,3700
31-03-2014,ASHOKLEY,2014,FY,-222,17524,screener_html,3989
