date,symbol,year,month,return,Rf_monthly,market_cap,bm,profitability,asset_growth,series,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,effective_year,turnover,quarter,net_income,total_assets,source,book_value,index,formation_year,shares_outstanding
2011-05-31,ACC,2011,5,-0.07687814521926672,,192861051250.0,,,,EQ,996.10,996.00,"1,035.20",996.00,"1,031.00",1027.25,"1,022.54",748029.0,764887325.55,,501943.0,67.1,2010,768412790.25,,,,,,,2010,187745000.0
2011-06-30,ACC,2011,6,-0.07476271598929174,,178442235250.0,,,,EQ,965.70,965.00,979.70,943.10,950.60,950.45,955.48,351945.0,336276512.15,10977.0,148688.0,42.25,2010,334506125.25,,,,,,,2010,187745000.0
2011-07-31,ACC,2011,7,0.06433794518386016,,189922842000.0,,,,EQ,"1,022.10","1,005.15","1,021.80",996.30,"1,014.00",1011.6,"1,010.39",228860.0,231237826.9,8485.0,85696.0,37.44,2011,231514776.0,,,,,,,2011,187745000.0
2011-08-31,ACC,2011,8,-0.008699090549624477,,188270686000.0,,,,EQ,"1,002.50","1,014.75","1,014.75",993.50,"1,011.70",1002.8,"1,000.20",266548.0,266601886.55,11108.0,153655.0,57.65,2011,267294334.39999998,,,,,,,2011,187745000.0
2011-09-30,ACC,2011,9,0.09548264858396482,,206247269750.0,,,,EQ,"1,089.75","1,086.00","1,105.00","1,086.00","1,098.00",1098.55,"1,097.45",212032.0,232693615.1,12235.0,96035.0,45.29,2011,232927753.6,,,,,,,2011,187745000.0
2011-10-31,ACC,2011,10,0.08784306585954216,,224364662250.0,,,,EQ,"1,224.00","1,216.20","1,224.00","1,190.10","1,190.95",1195.05,"1,201.93",226551.0,272298076.2,12757.0,99345.0,43.85,2011,270739772.55,,,,,,,2011,187745000.0
2011-11-30,ACC,2011,11,-0.042466842391531756,0.007315303211566038,214836603500.0,,,,EQ,"1,160.90","1,142.15","1,152.80","1,135.00","1,143.40",1144.3,"1,144.23",263791.0,301836745.55,11618.0,123137.0,46.68,2011,301856041.3,,,,,,0.0,2011,187745000.0
2011-12-31,ACC,2011,12,-0.006466835620029587,0.007290278927052363,213447290500.00003,,,,EQ,"1,151.30","1,151.35","1,158.90","1,132.05","1,139.75",1136.9,"1,147.88",111857.0,128398423.75,6093.0,36257.0,32.41,2011,127170223.30000001,,,,,,1.0,2011,187745000.0
2012-01-31,ACC,2012,1,0.049520626264403234,0.0073421502746688905,224017334000.0,,,,EQ,"1,170.25","1,177.55","1,201.80","1,177.00","1,193.00",1193.2,"1,193.39",219228.0,261624924.0,10884.0,125859.0,57.41,2011,261582849.60000002,,,,,,2.0,2011,187745000.0
2012-02-29,ACC,2012,2,0.09457760643647317,0.007109724428154829,245204357250.0,,,,EQ,"1,288.65","1,293.00","1,320.00","1,293.00","1,306.00",1306.05,"1,307.64",607159.0,793947101.0,17308.0,466897.0,76.9,2011,792980011.9499999,,,,,,3.0,2011,187745000.0
2012-03-31,ACC,2012,3,0.0408866429309751,0.007691563375019861,255229940250.0,,,,EQ,"1,322.30","1,313.80","1,375.00","1,296.50","1,357.00",1359.45,"1,335.24",305712.0,408200230.15,21489.0,116968.0,38.26,2011,415600178.40000004,,,,,,4.0,2011,187745000.0
