date,symbol,market_cap
2011-01-31,CCL,
2011-01-31,GMRAIRPORT,
2011-01-31,EIDPARRY,
2011-01-31,USHAMART,
2011-01-31,TTML,
2011-01-31,COROMANDEL,
2011-01-31,HEG,
2011-01-31,FACT,
2011-01-31,AUROPHARMA,
2011-01-31,GODREJIND,
2011-01-31,IFCI,
2011-01-31,NATCOPHARM,
2011-01-31,BATAINDIA,
2011-02-28,IFCI,
2011-02-28,USHAMART,
2011-02-28,BEML,
2011-02-28,PIDILITIND,
2011-02-28,ADANIENT,
2011-02-28,GODREJIND,
2011-02-28,BPCL,
2011-02-28,SUZLON,
2011-02-28,DRREDDY,
2011-02-28,TRIDENT,
2011-02-28,IDEA,
2011-02-28,ASIANPAINT,
2011-02-28,MAHABANK,
2011-02-28,CYIENT,
2011-02-28,UNIONBANK,
2011-02-28,SCI,
2011-02-28,KEI,
2011-02-28,HDFCBANK,
2011-02-28,IIFL,
2011-02-28,AJANTPHARM,
2011-02-28,HEROMOTOCO,
2011-02-28,BIOCON,
2011-02-28,CONCOR,
2011-02-28,ITI,
2011-02-28,ABREL,
2011-02-28,MMTC,
2011-02-28,IDBI,
2011-02-28,INFY,
2011-02-28,PVRINOX,
2011-02-28,DIVISLAB,
2011-02-28,YESBANK,
2011-02-28,GABRIEL,
2011-02-28,BALRAMCHIN,
2011-02-28,MPHASIS,
2011-02-28,HINDZINC,
2011-02-28,JINDALSTEL,
2011-02-28,ABB,
2011-02-28,BATAINDIA,
2011-02-28,HEG,
2011-02-28,TTML,
2011-02-28,FACT,
2011-02-28,GMRAIRPORT,
2011-02-28,VEDL,
2011-02-28,AUROPHARMA,
2011-02-28,ARE&M,
2011-02-28,CIPLA,
2011-02-28,DEEPAKNTR,
2011-02-28,JUBLFOOD,
2011-02-28,HBLENGINE,
2011-02-28,SRF,
2011-02-28,WIPRO,
2011-02-28,APOLLOHOSP,
2011-02-28,CANBK,
2011-02-28,TATAPOWER,
2011-02-28,NLCINDIA,
2011-02-28,UNITDSPR,
2011-02-28,ONGC,
2011-02-28,INDHOTEL,
2011-02-28,SIEMENS,
2011-02-28,IOB,
2011-02-28,FSL,
2011-02-28,PETRONET,
2011-02-28,PCBL,
2011-02-28,TATACOMM,
2011-02-28,TMPV,
2011-02-28,SUNPHARMA,
2011-02-28,ADANIPOWER,
2011-02-28,GRAVITA,
2011-02-28,TECHM,
2011-02-28,JINDALSAW,
2011-02-28,SJVN,
2011-02-28,EICHERMOT,
2011-02-28,GRANULES,
2011-02-28,MARICO,
2011-02-28,KARURVYSYA,
2011-02-28,ENGINERSIN,
2011-02-28,HINDPETRO,
2011-02-28,AEGISLOG,
2011-02-28,DABUR,
2011-02-28,CCL,
2011-02-28,ADANIPORTS,
2011-02-28,M&M,
2011-02-28,ELECON,
2011-02-28,BEL,
2011-02-28,PHOENIXLTD,
2011-02-28,MOTHERSON,
2011-02-28,NTPC,
2011-02-28,FEDERALBNK,
2011-02-28,JSL,
2011-02-28,JMFINANCIL,
2011-02-28,TATAELXSI,
2011-02-28,NAVA,
2011-02-28,RELIANCE,
2011-02-28,BANKBARODA,
2011-02-28,TITAN,
2011-02-28,KEC,
2011-02-28,PFOCUS,
2011-02-28,TVSMOTOR,
2011-02-28,MARUTI,
2011-02-28,INDUSINDBK,
2011-02-28,GRASIM,
2011-02-28,SONATSOFTW,
2011-02-28,GAIL,
2011-02-28,NCC,
2011-02-28,LT,
2011-02-28,GMDCLTD,
2011-02-28,BANKINDIA,
2011-02-28,HINDCOPPER,
2011-02-28,NMDC,
2011-02-28,PNB,
2011-02-28,CHOLAFIN,
2011-02-28,CUB,
2011-02-28,PRESTIGE,
2011-02-28,INDIACEM,
2011-02-28,LICHSGFIN,
2011-02-28,NATIONALUM,
2011-02-28,ZYDUSLIFE,
2011-02-28,ICICIBANK,
2011-02-28,POONAWALLA,
2011-02-28,OBEROIRLTY,
2011-02-28,UPL,
2011-02-28,HINDUNILVR,
2011-02-28,JSWSTEEL,
2011-02-28,J&KBANK,
2011-02-28,CHENNPETRO,
2011-02-28,OIL,
2011-02-28,GESHIP,
