date,symbol
2013-11-30,CONCOR
2013-11-30,APOLLOHOSP
2013-11-30,OIL
2013-11-30,DIVISLAB
2013-11-30,MINDACORP
2013-11-30,BPCL
2013-11-30,ACC
2013-11-30,MCX
2013-11-30,LICHSGFIN
2013-12-31,APOLLOHOSP
2013-12-31,CONCOR
2013-12-31,BPCL
2013-12-31,MCX
2013-12-31,LICHSGFIN
2013-12-31,ACC
2013-12-31,OIL
2013-12-31,DIVISLAB
2014-01-31,MCX
2014-01-31,LICHSGFIN
2014-01-31,OIL
2014-01-31,ACC
2014-01-31,CONCOR
2014-01-31,DIVISLAB
2014-01-31,BPCL
2014-01-31,APOLLOHOSP
2014-02-28,CONCOR
2014-02-28,APOLLOHOSP
2014-02-28,BPCL
2014-02-28,LICHSGFIN
2014-02-28,DIVISLAB
2014-02-28,OIL
2014-02-28,MCX
2014-02-28,ZEEL
2014-02-28,ACC
2014-03-31,DIVISLAB
2014-03-31,ACC
2014-03-31,CONCOR
2014-03-31,OIL
2014-03-31,APOLLOHOSP
2014-03-31,MCX
2014-03-31,ZEEL
2014-03-31,LICHSGFIN
2014-03-31,BPCL
2014-04-30,ZEEL
2014-04-30,OIL
2014-04-30,CONCOR
2014-04-30,MCX
2014-04-30,PFC
2014-04-30,LICHSGFIN
2014-04-30,ACC
2014-04-30,APOLLOHOSP
2014-04-30,BPCL
2014-04-30,DIVISLAB
2014-05-31,CONCOR
2014-05-31,DIVISLAB
2014-05-31,BPCL
2014-05-31,ACC
2014-05-31,MCX
2014-05-31,LICHSGFIN
2014-05-31,PFC
2014-05-31,ZEEL
2014-05-31,OIL
2014-05-31,APOLLOHOSP
2014-06-30,CONCOR
2014-06-30,APOLLOHOSP
2014-06-30,DIVISLAB
2014-06-30,MCX
2014-06-30,OIL
2014-06-30,BPCL
2014-06-30,ZEEL
2014-06-30,LICHSGFIN
2014-06-30,PFC
2014-06-30,ACC
2014-07-31,BPCL
2014-07-31,DIVISLAB
2014-07-31,ACC
2014-07-31,MCX
2014-07-31,PFC
2014-07-31,ZEEL
2014-07-31,OIL
2014-07-31,APOLLOHOSP
2014-07-31,CONCOR
2014-07-31,LICHSGFIN
2014-08-31,OIL
2014-08-31,ACC
2014-08-31,MCX
2014-08-31,DIVISLAB
2014-08-31,APOLLOHOSP
2014-08-31,CONCOR
2014-08-31,BPCL
2014-08-31,LICHSGFIN
2014-08-31,ZEEL
2014-08-31,PFC
2014-09-30,LICHSGFIN
2014-09-30,CONCOR
2014-09-30,DIVISLAB
2014-09-30,OIL
2014-09-30,ACC
2014-09-30,ZEEL
2014-09-30,PFC
2014-09-30,APOLLOHOSP
2014-09-30,MCX
2014-09-30,BPCL
2014-10-31,PFC
2014-10-31,BPCL
2014-10-31,MCX
2014-10-31,ZEEL
2014-10-31,APOLLOHOSP
2014-10-31,DIVISLAB
2014-10-31,OIL
2014-10-31,ACC
2014-10-31,CONCOR
2014-10-31,LICHSGFIN
2014-11-30,PFC
2014-11-30,ACC
2014-11-30,CONCOR
2014-11-30,APOLLOHOSP
2014-11-30,ZEEL
2014-11-30,OIL
2014-11-30,LICHSGFIN
2014-11-30,MCX
2014-11-30,DIVISLAB
2014-11-30,BPCL
2014-12-31,DIVISLAB
2014-12-31,ACC
2014-12-31,APOLLOHOSP
2014-12-31,OIL
2014-12-31,LICHSGFIN
2014-12-31,PFC
2014-12-31,BPCL
2014-12-31,ZEEL
2014-12-31,MCX
2014-12-31,CONCOR
2015-01-31,ACC
2015-01-31,BPCL
2015-01-31,PFC
2015-01-31,ZEEL
2015-01-31,MCX
2015-01-31,LICHSGFIN
2015-01-31,MINDACORP
2015-01-31,DIVISLAB
2015-01-31,APOLLOHOSP
2015-01-31,CONCOR
2015-01-31,OIL
2015-02-28,ZEEL
2015-02-28,LICHSGFIN
2015-02-28,APOLLOHOSP
2015-02-28,PFC
2015-02-28,MCX
2015-02-28,MINDACORP
2015-02-28,DIVISLAB
2015-02-28,BPCL
2015-02-28,CONCOR
2015-02-28,OIL
2015-02-28,ACC
2015-03-31,BPCL
2015-03-31,DIVISLAB
2015-03-31,OIL
2015-03-31,MINDACORP
2015-03-31,PFC
2015-03-31,ACC
2015-03-31,CONCOR
2015-03-31,LICHSGFIN
2015-03-31,IRB
2015-03-31,APOLLOHOSP
2015-03-31,ZEEL
2015-03-31,MCX
2015-04-30,MCX
2015-04-30,ACC
2015-04-30,MINDACORP
2015-04-30,INOXWIND
2015-04-30,ZEEL
2015-04-30,DIVISLAB
2015-04-30,CONCOR
2015-04-30,IRB
2015-04-30,LICHSGFIN
2015-04-30,BPCL
2015-04-30,OIL
2015-04-30,PFC
