date,symbol,market_cap,bm,profitability,asset_growth
2013-04-30,DIVISLAB,285339354650.0,,,
2013-05-31,OIL,357435465600.0,,,
2013-05-31,ACC,228814218750.0,,,
2013-05-31,MINDACORP,67030490000.0,,,
2013-05-31,MCX,43514384800.0,,,
2013-05-31,LICHSGFIN,129143263747.2,,,
2013-05-31,APOLLOHOSP,140196262500.0,,,
2013-05-31,DIVISLAB,259522494400.0,,,
2013-06-30,LICHSGFIN,128562901288.0,,,
2013-06-30,APOLLOHOSP,146561231250.0,,,
2013-06-30,MINDACORP,65894380000.0,,,
2013-06-30,ACC,229546424250.00003,,,
2013-06-30,DIVISLAB,263106325900.0,,,
2013-06-30,MCX,39136172160.0,,,
2013-06-30,OIL,345382688800.0,,,
2013-07-31,MCX,32544628960.0,,,
2013-07-31,DIVISLAB,248664812300.0,,,
2013-07-31,APOLLOHOSP,130520118750.0,,,
2013-07-31,LICHSGFIN,83622660425.59999,,,
2013-07-31,ACC,220328144750.0,,,
2013-07-31,OIL,310907539200.0,,,
2013-08-31,MINDACORP,65894380000.0,,,
2013-08-31,MCX,19070851680.0,,,
2013-08-31,LICHSGFIN,83723593027.2,,,
2013-08-31,BPCL,197401932000.0,,,
2013-08-31,APOLLOHOSP,120280518750.0,,,
2013-08-31,OIL,261283762400.0,,,
2013-08-31,ACC,181004954500.0,,,
2013-08-31,DIVISLAB,263942553250.0,,,
2013-09-30,LICHSGFIN,94851412353.59999,,,
2013-09-30,MCX,19435490240.0,,,
2013-09-30,MINDACORP,62599661000.0,,,
2013-09-30,BPCL,239521575000.0,,,
2013-09-30,ACC,208763052750.0,,,
2013-09-30,DIVISLAB,257597844150.0,,,
2013-09-30,APOLLOHOSP,129337556250.0,,,
2013-09-30,OIL,262936886400.0,,,
2013-09-30,CONCOR,174782363700.0,,,
2013-10-31,LICHSGFIN,113322078446.40001,,,
2013-10-31,ACC,213062413249.99997,,,
2013-10-31,BPCL,259984852200.0,,,
2013-10-31,APOLLOHOSP,126443756250.0,,,
2013-10-31,MCX,24142642560.0,,,
2013-10-31,DIVISLAB,258168602500.0,,,
2013-10-31,CONCOR,184482340100.0,,,
2013-10-31,OIL,284848293600.0,,,
2013-10-31,MINDACORP,54533280000.0,,,
2013-11-30,CONCOR,177292659100.0,,,
2013-11-30,APOLLOHOSP,116044162500.0,,,
2013-11-30,OIL,290438858400.0,,,
2013-11-30,DIVISLAB,305899928700.0,,,
2013-11-30,MINDACORP,43626624000.0,,,
2013-11-30,BPCL,245848560000.0,,,
2013-11-30,ACC,205881166999.99997,,,
2013-11-30,MCX,24344086240.0,,,
2013-11-30,LICHSGFIN,104995138814.40001,,,
2013-12-31,APOLLOHOSP,131667900000.0,,,
2013-12-31,CONCOR,177901954100.0,,,
2013-12-31,BPCL,251560923599.99997,,,
2013-12-31,MCX,24430783520.0,,,
2013-12-31,LICHSGFIN,110647364504.0,,,
2013-12-31,ACC,208162268750.0,,,
2013-12-31,OIL,293564765600.0,,,
2013-12-31,DIVISLAB,324230563150.0,,,
2014-01-31,MCX,25486450400.0,,,
2014-01-31,LICHSGFIN,98787783816.0,,,
2014-01-31,OIL,285058691200.0,,,
2014-01-31,ACC,189782033250.0,,,
2014-01-31,CONCOR,179071800500.0,,,
2014-01-31,DIVISLAB,349224469500.0,,,
2014-01-31,BPCL,262262566800.0,,,
2014-01-31,APOLLOHOSP,129414075000.0,,,
2014-02-28,CONCOR,186176180200.0,,,
2014-02-28,APOLLOHOSP,128036737500.0,,,
2014-02-28,BPCL,273325752000.0,,,
2014-02-28,LICHSGFIN,104162444851.2,,,
2014-02-28,DIVISLAB,378173863950.0,,,
2014-02-28,OIL,273847504800.0,,,
2014-02-28,MCX,26822608480.000004,,,
2014-02-28,ZEEL,258072646300.0,,,
2014-02-28,ACC,207439450500.00003,,,
2014-03-31,DIVISLAB,362604107100.0,,,
2014-03-31,ACC,262758514750.0,,,
2014-03-31,CONCOR,236516133100.0,,,
2014-03-31,OIL,290979880800.0,,,
2014-03-31,APOLLOHOSP,127501106250.0,,,
2014-03-31,MCX,25198309440.0,,,
2014-03-31,ZEEL,260617836150.00003,,,
2014-03-31,LICHSGFIN,119176169339.2,,,
2014-03-31,BPCL,332654794200.0,,,
2014-04-30,ZEEL,252213907400.00003,,,
2014-04-30,OIL,286892156000.0,,,
2014-04-30,CONCOR,234395786500.0,,,
2014-04-30,MCX,27235695519.999996,,,
2014-04-30,PFC,242689354000.0,,,
2014-04-30,LICHSGFIN,132423573299.19998,,,
2014-04-30,ACC,242754285000.0,,,
2014-04-30,APOLLOHOSP,124426443750.0,,,
2014-04-30,BPCL,328930911600.0,,,
2014-04-30,DIVISLAB,366679056250.0,,,
2014-05-31,CONCOR,272367050900.0,,,
2014-05-31,DIVISLAB,338526068800.0,,,
2014-05-31,BPCL,377377539600.0,,,
2014-05-31,ACC,251015065000.0,,,
2014-05-31,MCX,27421839680.000004,,,
2014-05-31,LICHSGFIN,160659468596.80002,,,
2014-05-31,PFC,385385678000.0,,,
2014-05-31,ZEEL,256199770750.0,,,
2014-05-31,OIL,342677576800.0,,,
2014-05-31,APOLLOHOSP,126283762500.0,,,
2014-06-30,CONCOR,289792887900.0,,,
2014-06-30,APOLLOHOSP,138436331250.0,,,
2014-06-30,DIVISLAB,387359091350.0,,,
2014-06-30,MCX,31335966880.000004,,,
2014-06-30,OIL,353257570400.0,,,
2014-06-30,BPCL,434139633600.0,,,
2014-06-30,ZEEL,281843759050.0,,,
2014-06-30,LICHSGFIN,165201435668.80002,,,
2014-06-30,PFC,405384284000.0,,,
2014-06-30,ACC,275844341250.0,,0.141396933560477,
2014-07-31,BPCL,419497182600.0,,,
2014-07-31,DIVISLAB,391818970550.0,,,
2014-07-31,ACC,262073245500.00003,,0.141396933560477,
2014-07-31,MCX,41242406080.0,,,
2014-07-31,PFC,354232734000.0,,,
2014-07-31,ZEEL,279202524300.0,,,
2014-07-31,OIL,339641840000.0,,,
2014-07-31,APOLLOHOSP,140961450000.0,,,
2014-07-31,CONCOR,318344451600.0,,,
2014-07-31,LICHSGFIN,146200873417.6,,,
2014-08-31,OIL,369939094400.0,,,
2014-08-31,ACC,280218799750.0,,0.141396933560477,
2014-08-31,MCX,43073248640.0,,,
2014-08-31,DIVISLAB,415392617750.0,,,
2014-08-31,APOLLOHOSP,163221450000.0,,,
2014-08-31,CONCOR,321866176700.0,,,
2014-08-31,BPCL,502037221199.99994,,,
2014-08-31,LICHSGFIN,152736259371.19998,,,
2014-08-31,ZEEL,262874891300.0,,,
2014-08-31,PFC,330142004000.0,,,
2014-09-30,LICHSGFIN,164267809104.0,,,
2014-09-30,CONCOR,329945428400.0,,,
2014-09-30,DIVISLAB,477937114150.0,,,
2014-09-30,OIL,365851369600.0,,,
2014-09-30,ACC,262758514750.0,,0.141396933560477,
2014-09-30,ZEEL,301725053350.0,,,
2014-09-30,PFC,309681384000.0,,,
2014-09-30,APOLLOHOSP,155917387500.0,,,
2014-09-30,MCX,40775770720.0,,,
2014-09-30,BPCL,473909253600.0,,,
2014-10-31,PFC,372713294000.0,,,
2014-10-31,BPCL,524055129000.0,,,
2014-10-31,MCX,42366920800.0,,,
2014-10-31,ZEEL,330634568250.0,,,
2014-10-31,APOLLOHOSP,155186981250.0,,,
2014-10-31,DIVISLAB,497887109500.0,,,
2014-10-31,OIL,382172212000.0,,,
2014-10-31,ACC,281476691250.0,,0.141396933560477,
2014-10-31,CONCOR,329457992400.0,,,
2014-10-31,LICHSGFIN,182713242046.4,,,
2014-11-30,PFC,408816388000.0,,,
2014-11-30,ACC,276989585750.0,,0.141396933560477,
2014-11-30,CONCOR,328361261400.0,,,
2014-11-30,APOLLOHOSP,162226706250.0,,,
